mode,secondID,time,speed (m/s),lat,lon
grta,0,08:21:20,15.0093510204,33.7476387,-84.39221191
grta,1,08:21:21,15.0093510204,33.7477520464,-84.3921233948
grta,2,08:21:22,15.0093510204,33.7478653929,-84.3920348796
grta,3,08:21:23,15.0093510204,33.7479787394,-84.3919463643
grta,4,08:21:24,15.0093510204,33.7480918392,-84.3918573999
grta,5,08:21:25,15.0093510204,33.7482046566,-84.391767921
grta,6,08:21:26,15.0093510204,33.7483179074,-84.3916792351
grta,7,08:21:27,15.0093510204,33.748431583,-84.3915913262
grta,8,08:21:28,15.0093510204,33.7485452587,-84.3915034173
grta,9,08:21:29,15.0093510204,33.7486582433,-84.391414241
grta,10,08:21:30,15.0093510204,33.7487712197,-84.3913250495
grta,11,08:21:31,15.0093510204,33.7488841961,-84.391235858
grta,12,08:21:32,15.0093510204,33.7489971726,-84.3911466664
grta,13,08:21:33,15.0093510204,33.7491101492,-84.3910574748
grta,14,08:21:34,15.0093510204,33.7492231258,-84.3909682832
grta,15,08:21:35,15.0093510204,33.7493366854,-84.3908801659
